    -0.1690726, -0.09318608, -0.02018599,
  2.664822, 2.743429, 2.817647, 2.886045, 2.948102, 3.003233, 3.050531, 
    3.090312, 3.12799, 3.164361, 3.199122, 3.23231, 3.26347, 3.292409, 
    3.318997, 3.342977, 3.364247, 3.382601, 3.39768, 3.409434, 3.417599, 
    3.422044, 3.422549, 3.418927, 3.411069, 3.398609, 3.381539, 3.359534, 
    3.332528, 3.300255, 3.262614, 3.219442, 3.170428, 3.115453, 3.054405, 
    2.986739, 2.908881, 2.820395, 2.722008, 2.614407, 2.498434, 2.374735, 
    2.24408, 2.107182, 1.964771, 1.817606, 1.666399, 1.511795, 1.354769, 
    1.195959, 1.036109, 0.875972, 0.716305, 0.5577317, 0.401277, 0.2475938, 
    0.09742279, -0.04848178, -0.189423, -0.3244244, -0.4528043, -0.5737911, 
    -0.6866309, -0.7908162, -0.8921159, -0.9932221, -1.093758, -1.193359, 
    -1.291726, -1.388559, -1.483434, -1.575929, -1.665995, -1.753054, 
    -1.836999, -1.917364, -1.99385, -2.066285, -2.134195, -2.197281, 
    -2.255672, -2.308534, -2.355913, -2.397621, -2.433125, -2.462604, 
    -2.485562, -2.501539, -2.510798, -2.513094, -2.508052, -2.495731, 
    -2.473854, -2.442559, -2.402109, -2.353474, -2.296724, -2.233129, 
    -2.1628, -2.086609, -2.005161, -1.91883, -1.828687, -1.734841, -1.63811, 
    -1.539011, -1.438066, -1.335874, -1.233127, -1.130167, -1.027531, 
    -0.9258013, -0.8254045, -0.7269465, -0.6307685, -0.5373932, -0.447144, 
    -0.3607712, -0.2783113, -0.2004575,
  2.884785, 2.968164, 3.04621, 3.118099, 3.183079, 3.240327, 3.289081, 
    3.32951, 3.367093, 3.402813, 3.436392, 3.467641, 3.496412, 3.522561, 
    3.545894, 3.56617, 3.583332, 3.597124, 3.607363, 3.613955, 3.616704, 
    3.615478, 3.610035, 3.600288, 3.586075, 3.567234, 3.543622, 3.515041, 
    3.481373, 3.442465, 3.398194, 3.348241, 3.292764, 3.231318, 3.163964, 
    3.090081, 3.006132, 2.911434, 2.806811, 2.693033, 2.570646, 2.440583, 
    2.303351, 2.159774, 2.010725, 1.856634, 1.698545, 1.536918, 1.372604, 
    1.206498, 1.039061, 0.8711759, 0.7037373, 0.5372112, 0.3724923, 
    0.2104885, 0.05165061, -0.1030938, -0.2528219, -0.3970774, -0.5349683, 
